week,State,death
03/07/2020,Hawaii,0.0
03/14/2020,Hawaii,0.0
03/21/2020,Hawaii,0.0
03/28/2020,Hawaii,0.0
05/09/2020,Hawaii,0.0
05/16/2020,Hawaii,0.0
05/23/2020,Hawaii,0.0
05/30/2020,Hawaii,0.0
06/06/2020,Hawaii,0.0
06/13/2020,Hawaii,0.0
06/20/2020,Hawaii,0.0
08/15/2020,Hawaii,13.0
08/22/2020,Hawaii,11.0
08/29/2020,Hawaii,32.0
09/05/2020,Hawaii,29.0
09/12/2020,Hawaii,33.0
09/19/2020,Hawaii,32.0
09/26/2020,Hawaii,26.0
10/03/2020,Hawaii,20.0
10/10/2020,Hawaii,19.0
10/17/2020,Hawaii,17.0
10/24/2020,Hawaii,14.0
10/31/2020,Hawaii,11.0
11/14/2020,Hawaii,0.0
02/01/2020,Idaho,0.0
02/08/2020,Idaho,0.0
02/15/2020,Idaho,0.0
02/22/2020,Idaho,0.0
02/29/2020,Idaho,0.0
03/07/2020,Idaho,0.0
03/14/2020,Idaho,0.0
03/21/2020,Idaho,0.0
04/11/2020,Idaho,22.0
04/18/2020,Idaho,12.0
04/25/2020,Idaho,12.0
06/20/2020,Idaho,0.0
07/11/2020,Idaho,15.0
07/18/2020,Idaho,26.0
07/25/2020,Idaho,45.0
08/01/2020,Idaho,49.0
08/08/2020,Idaho,40.0
08/15/2020,Idaho,32.0
08/22/2020,Idaho,57.0
08/29/2020,Idaho,28.0
09/05/2020,Idaho,38.0
09/12/2020,Idaho,25.0
09/19/2020,Idaho,19.0
09/26/2020,Idaho,25.0
10/03/2020,Idaho,29.0
10/10/2020,Idaho,25.0
10/17/2020,Idaho,37.0
10/24/2020,Idaho,41.0
10/31/2020,Idaho,66.0
11/07/2020,Idaho,51.0
02/01/2020,Illinois,0.0
02/08/2020,Illinois,0.0
02/15/2020,Illinois,0.0
02/22/2020,Illinois,0.0
02/29/2020,Illinois,0.0
03/07/2020,Illinois,0.0
03/21/2020,Illinois,14.0
03/28/2020,Illinois,73.0
04/04/2020,Illinois,296.0
04/11/2020,Illinois,469.0
04/18/2020,Illinois,588.0
04/25/2020,Illinois,676.0
05/02/2020,Illinois,741.0
05/09/2020,Illinois,788.0
05/16/2020,Illinois,696.0
05/23/2020,Illinois,574.0
05/30/2020,Illinois,470.0
06/06/2020,Illinois,428.0
06/13/2020,Illinois,318.0
06/20/2020,Illinois,269.0
06/27/2020,Illinois,150.0
07/04/2020,Illinois,146.0
07/11/2020,Illinois,110.0
07/18/2020,Illinois,89.0
07/25/2020,Illinois,81.0
08/01/2020,Illinois,89.0
08/08/2020,Illinois,98.0
08/15/2020,Illinois,100.0
08/22/2020,Illinois,96.0
08/29/2020,Illinois,128.0
09/05/2020,Illinois,119.0
09/12/2020,Illinois,119.0
09/19/2020,Illinois,128.0
09/26/2020,Illinois,137.0
10/03/2020,Illinois,144.0
10/10/2020,Illinois,184.0
10/17/2020,Illinois,220.0
10/24/2020,Illinois,250.0
10/31/2020,Illinois,310.0
11/07/2020,Illinois,436.0
11/14/2020,Illinois,194.0
02/01/2020,Indiana,0.0
02/08/2020,Indiana,0.0
02/15/2020,Indiana,0.0
02/22/2020,Indiana,0.0
02/29/2020,Indiana,0.0
03/07/2020,Indiana,0.0
03/14/2020,Indiana,0.0
03/21/2020,Indiana,15.0
03/28/2020,Indiana,51.0
04/04/2020,Indiana,158.0
04/11/2020,Indiana,235.0
04/18/2020,Indiana,273.0
04/25/2020,Indiana,307.0
05/02/2020,Indiana,293.0
05/09/2020,Indiana,263.0
05/16/2020,Indiana,255.0
05/23/2020,Indiana,197.0
05/30/2020,Indiana,146.0
06/06/2020,Indiana,139.0
06/13/2020,Indiana,126.0
06/20/2020,Indiana,111.0
06/27/2020,Indiana,76.0
07/04/2020,Indiana,63.0
07/11/2020,Indiana,81.0
07/18/2020,Indiana,64.0
07/25/2020,Indiana,77.0
08/01/2020,Indiana,79.0
08/08/2020,Indiana,77.0
08/15/2020,Indiana,98.0
08/22/2020,Indiana,97.0
08/29/2020,Indiana,77.0
09/05/2020,Indiana,74.0
09/12/2020,Indiana,88.0
09/19/2020,Indiana,96.0
09/26/2020,Indiana,97.0
10/03/2020,Indiana,138.0
10/10/2020,Indiana,138.0
10/17/2020,Indiana,193.0
10/24/2020,Indiana,191.0
10/31/2020,Indiana,227.0
11/07/2020,Indiana,183.0
11/14/2020,Indiana,37.0
02/01/2020,Iowa,0.0
02/08/2020,Iowa,0.0
02/15/2020,Iowa,0.0
02/22/2020,Iowa,0.0
02/29/2020,Iowa,0.0
03/07/2020,Iowa,0.0
03/14/2020,Iowa,0.0
03/21/2020,Iowa,0.0
04/04/2020,Iowa,17.0
04/11/2020,Iowa,22.0
04/18/2020,Iowa,36.0
04/25/2020,Iowa,52.0
05/02/2020,Iowa,69.0
05/09/2020,Iowa,92.0
05/16/2020,Iowa,103.0
05/23/2020,Iowa,101.0
05/30/2020,Iowa,91.0
06/06/2020,Iowa,70.0
06/13/2020,Iowa,40.0
06/20/2020,Iowa,32.0
06/27/2020,Iowa,20.0
07/04/2020,Iowa,20.0
07/11/2020,Iowa,26.0
07/18/2020,Iowa,41.0
07/25/2020,Iowa,45.0
08/01/2020,Iowa,51.0
08/08/2020,Iowa,54.0
08/15/2020,Iowa,57.0
08/22/2020,Iowa,63.0
08/29/2020,Iowa,77.0
09/05/2020,Iowa,59.0
09/12/2020,Iowa,61.0
09/19/2020,Iowa,46.0
09/26/2020,Iowa,57.0
10/03/2020,Iowa,83.0
10/10/2020,Iowa,98.0
10/17/2020,Iowa,112.0
10/24/2020,Iowa,125.0
10/31/2020,Iowa,121.0
11/07/2020,Iowa,184.0
11/14/2020,Iowa,86.0
02/01/2020,Kansas,0.0
02/08/2020,Kansas,0.0
02/15/2020,Kansas,0.0
02/22/2020,Kansas,0.0
02/29/2020,Kansas,0.0
03/07/2020,Kansas,0.0
04/04/2020,Kansas,21.0
04/11/2020,Kansas,36.0
04/18/2020,Kansas,42.0
04/25/2020,Kansas,22.0
05/02/2020,Kansas,25.0
05/09/2020,Kansas,34.0
05/16/2020,Kansas,27.0
05/30/2020,Kansas,14.0
06/06/2020,Kansas,18.0
06/20/2020,Kansas,20.0
06/27/2020,Kansas,17.0
07/04/2020,Kansas,12.0
07/11/2020,Kansas,16.0
07/18/2020,Kansas,24.0
07/25/2020,Kansas,35.0
08/01/2020,Kansas,40.0
08/08/2020,Kansas,37.0
08/15/2020,Kansas,40.0
08/22/2020,Kansas,39.0
08/29/2020,Kansas,49.0
09/05/2020,Kansas,38.0
09/12/2020,Kansas,56.0
09/19/2020,Kansas,49.0
09/26/2020,Kansas,56.0
10/03/2020,Kansas,68.0
10/10/2020,Kansas,82.0
10/17/2020,Kansas,96.0
10/24/2020,Kansas,116.0
10/31/2020,Kansas,83.0
11/07/2020,Kansas,112.0
11/14/2020,Kansas,45.0
02/01/2020,Kentucky,0.0
02/08/2020,Kentucky,0.0
02/15/2020,Kentucky,0.0
02/22/2020,Kentucky,0.0
02/29/2020,Kentucky,0.0
03/07/2020,Kentucky,0.0
03/14/2020,Kentucky,0.0
04/04/2020,Kentucky,47.0
04/11/2020,Kentucky,53.0
04/18/2020,Kentucky,59.0
04/25/2020,Kentucky,68.0
05/02/2020,Kentucky,48.0
05/09/2020,Kentucky,62.0
05/16/2020,Kentucky,51.0
05/23/2020,Kentucky,49.0
05/30/2020,Kentucky,44.0
06/06/2020,Kentucky,39.0
06/13/2020,Kentucky,43.0
06/20/2020,Kentucky,26.0
06/27/2020,Kentucky,37.0
07/04/2020,Kentucky,36.0
07/11/2020,Kentucky,36.0
07/18/2020,Kentucky,37.0
07/25/2020,Kentucky,47.0
08/01/2020,Kentucky,46.0
08/08/2020,Kentucky,53.0
08/15/2020,Kentucky,64.0
08/22/2020,Kentucky,77.0
08/29/2020,Kentucky,70.0
09/05/2020,Kentucky,84.0
09/12/2020,Kentucky,69.0
09/19/2020,Kentucky,58.0
09/26/2020,Kentucky,69.0
10/03/2020,Kentucky,57.0
10/10/2020,Kentucky,86.0
10/17/2020,Kentucky,87.0
10/24/2020,Kentucky,118.0
10/31/2020,Kentucky,80.0
11/07/2020,Kentucky,64.0
11/14/2020,Kentucky,15.0
02/01/2020,Louisiana,0.0
02/08/2020,Louisiana,0.0
02/15/2020,Louisiana,0.0
03/14/2020,Louisiana,0.0
03/21/2020,Louisiana,41.0
03/28/2020,Louisiana,190.0
04/04/2020,Louisiana,391.0
04/11/2020,Louisiana,455.0
04/18/2020,Louisiana,391.0
04/25/2020,Louisiana,336.0
05/02/2020,Louisiana,268.0
05/09/2020,Louisiana,241.0
05/16/2020,Louisiana,170.0
05/23/2020,Louisiana,131.0
05/30/2020,Louisiana,121.0
06/06/2020,Louisiana,103.0
06/13/2020,Louisiana,73.0
06/20/2020,Louisiana,86.0
06/27/2020,Louisiana,72.0
07/04/2020,Louisiana,86.0
07/11/2020,Louisiana,119.0
07/18/2020,Louisiana,156.0
07/25/2020,Louisiana,225.0
08/01/2020,Louisiana,237.0
08/08/2020,Louisiana,249.0
08/15/2020,Louisiana,202.0
08/22/2020,Louisiana,194.0
08/29/2020,Louisiana,160.0
09/05/2020,Louisiana,115.0
09/12/2020,Louisiana,114.0
09/19/2020,Louisiana,90.0
09/26/2020,Louisiana,74.0
10/03/2020,Louisiana,72.0
10/10/2020,Louisiana,77.0
10/17/2020,Louisiana,69.0
10/24/2020,Louisiana,50.0
10/31/2020,Louisiana,52.0
11/07/2020,Louisiana,32.0
02/01/2020,Maine,0.0
02/08/2020,Maine,0.0
02/15/2020,Maine,0.0
02/22/2020,Maine,0.0
02/29/2020,Maine,0.0
03/07/2020,Maine,0.0
03/14/2020,Maine,0.0
03/21/2020,Maine,0.0
04/11/2020,Maine,12.0
04/18/2020,Maine,11.0
04/25/2020,Maine,18.0
05/16/2020,Maine,10.0
05/30/2020,Maine,13.0
02/01/2020,Maryland,0.0
02/08/2020,Maryland,0.0
02/15/2020,Maryland,0.0
02/22/2020,Maryland,0.0
02/29/2020,Maryland,0.0
03/07/2020,Maryland,0.0
03/14/2020,Maryland,0.0
03/28/2020,Maryland,18.0
04/04/2020,Maryland,86.0
04/11/2020,Maryland,212.0
04/18/2020,Maryland,298.0
04/25/2020,Maryland,392.0
05/02/2020,Maryland,426.0
05/09/2020,Maryland,414.0
05/16/2020,Maryland,389.0
05/23/2020,Maryland,296.0
05/30/2020,Maryland,289.0
06/06/2020,Maryland,233.0
06/13/2020,Maryland,191.0
06/20/2020,Maryland,134.0
06/27/2020,Maryland,115.0
07/04/2020,Maryland,92.0
07/11/2020,Maryland,74.0
07/18/2020,Maryland,62.0
07/25/2020,Maryland,66.0
08/01/2020,Maryland,79.0
08/08/2020,Maryland,72.0
08/15/2020,Maryland,60.0
08/22/2020,Maryland,59.0
08/29/2020,Maryland,56.0
09/05/2020,Maryland,55.0
09/12/2020,Maryland,38.0
09/19/2020,Maryland,49.0
09/26/2020,Maryland,49.0
10/03/2020,Maryland,41.0
10/10/2020,Maryland,51.0
10/17/2020,Maryland,41.0
10/24/2020,Maryland,62.0
10/31/2020,Maryland,62.0
11/07/2020,Maryland,64.0
11/14/2020,Maryland,23.0
02/01/2020,Massachusetts,0.0
02/08/2020,Massachusetts,0.0
02/15/2020,Massachusetts,0.0
02/29/2020,Massachusetts,0.0
03/14/2020,Massachusetts,0.0
03/28/2020,Massachusetts,48.0
04/04/2020,Massachusetts,229.0
04/11/2020,Massachusetts,641.0
04/18/2020,Massachusetts,1106.0
04/25/2020,Massachusetts,1235.0
05/02/2020,Massachusetts,1121.0
05/09/2020,Massachusetts,940.0
05/16/2020,Massachusetts,788.0
05/23/2020,Massachusetts,530.0
05/30/2020,Massachusetts,390.0
06/06/2020,Massachusetts,244.0
06/13/2020,Massachusetts,181.0
06/20/2020,Massachusetts,131.0
06/27/2020,Massachusetts,95.0
07/04/2020,Massachusetts,67.0
07/11/2020,Massachusetts,58.0
07/18/2020,Massachusetts,35.0
07/25/2020,Massachusetts,36.0
08/01/2020,Massachusetts,32.0
08/08/2020,Massachusetts,28.0
08/15/2020,Massachusetts,21.0
08/22/2020,Massachusetts,33.0
08/29/2020,Massachusetts,23.0
09/05/2020,Massachusetts,18.0
09/12/2020,Massachusetts,22.0
09/19/2020,Massachusetts,27.0
09/26/2020,Massachusetts,22.0
10/03/2020,Massachusetts,26.0
10/10/2020,Massachusetts,28.0
10/17/2020,Massachusetts,42.0
10/24/2020,Massachusetts,56.0
10/31/2020,Massachusetts,53.0
11/07/2020,Massachusetts,64.0
11/14/2020,Massachusetts,40.0
02/01/2020,Michigan,0.0
02/08/2020,Michigan,0.0
02/15/2020,Michigan,0.0
02/22/2020,Michigan,0.0
03/07/2020,Michigan,0.0
03/21/2020,Michigan,21.0
03/28/2020,Michigan,231.0
04/04/2020,Michigan,679.0
04/11/2020,Michigan,969.0
04/18/2020,Michigan,972.0
04/25/2020,Michigan,774.0
05/02/2020,Michigan,593.0
05/09/2020,Michigan,448.0
05/16/2020,Michigan,289.0
05/23/2020,Michigan,230.0
05/30/2020,Michigan,171.0
06/06/2020,Michigan,115.0
06/13/2020,Michigan,77.0
06/20/2020,Michigan,58.0
06/27/2020,Michigan,46.0
07/04/2020,Michigan,41.0
07/11/2020,Michigan,42.0
07/18/2020,Michigan,35.0
07/25/2020,Michigan,37.0
08/01/2020,Michigan,55.0
08/08/2020,Michigan,45.0
08/15/2020,Michigan,59.0
08/22/2020,Michigan,58.0
08/29/2020,Michigan,61.0
09/05/2020,Michigan,54.0
09/12/2020,Michigan,40.0
09/19/2020,Michigan,56.0
09/26/2020,Michigan,51.0
10/03/2020,Michigan,77.0
10/10/2020,Michigan,84.0
10/17/2020,Michigan,124.0
10/24/2020,Michigan,154.0
10/31/2020,Michigan,152.0
11/07/2020,Michigan,193.0
11/14/2020,Michigan,33.0
02/01/2020,Minnesota,0.0
02/08/2020,Minnesota,0.0
02/15/2020,Minnesota,0.0
02/22/2020,Minnesota,0.0
02/29/2020,Minnesota,0.0
03/07/2020,Minnesota,0.0
03/14/2020,Minnesota,0.0
03/28/2020,Minnesota,11.0
04/04/2020,Minnesota,25.0
04/11/2020,Minnesota,45.0
04/18/2020,Minnesota,79.0
04/25/2020,Minnesota,147.0
05/02/2020,Minnesota,155.0
